name,year,count
Anna,2014,333
Anna,2016,309
Anna,2015,304
Anna,2013,290
Anna,2008,286
Anna,2009,285
Anna,1981,269
Anna,1980,264
Anna,2011,256
Anna,1986,254
Anna,2017,251
Anna,1982,246
Anna,1971,245
Anna,1983,245
Anna,1970,244
Anna,1969,240
Anna,1977,240
Anna,2012,240
Anna,1979,237
Anna,1987,236
Anna,2007,233
Anna,1978,228
Anna,1984,227
Anna,1985,226
Anna,1991,224
Anna,1967,222
Anna,1968,220
Anna,1990,219
Anna,1993,219
Anna,2000,219
Anna,1976,215
Anna,1965,213
Anna,1974,213
Anna,1961,212
Anna,1973,212
Anna,1988,211
Anna,1972,210
Anna,1989,210
Anna,1992,210
Anna,1966,209
Anna,2010,206
Anna,1996,202
Anna,1975,199
Anna,2002,195
Anna,1963,194
Anna,1995,194
Anna,1962,192
Anna,2001,186
Anna,1964,185
Anna,1994,182
Anna,1999,182
Anna,2004,180
Anna,1960,175
Anna,1997,174
Anna,2003,171
Anna,1959,169
Anna,1998,167
Anna,2005,165
Anna,1957,157
Anna,1958,157
Anna,2006,151
Anna,1955,144
Anna,1954,134
Anna,1956,126
Anna,1944,54
Anna,1945,54
Anna,1946,54
Anna,1947,54
Anna,1948,54
Anna,1949,54
Anna,1950,54
Anna,1951,54
Anna,1952,54
Anna,1953,54
